Compactness,Major_Axis_Length,Extent,Area,class
0.8207,326.1485,0.7453,56276,0
0.7487,417.1932,0.7151,76631,0
0.6929,435.8328,0.74,71623,0
0.7624,381.5638,0.7396,66458,0
0.7557,383.8883,0.6752,66107,0
0.7522,405.8132,0.7165,73191,0
0.779,392.2516,0.7187,73338,0
0.7067,421.4875,0.6736,69692,0
0.7152,488.1199,0.6188,95727,0
0.7394,413.6504,0.7443,73465,0
0.7431,438.5827,0.7019,83429,0
0.7391,446.2935,0.7457,85461,0
0.6566,459.2091,0.6,71393,0
0.759,420.8842,0.7285,80151,0
0.7304,403.0626,0.7377,68078,0
0.7365,368.7807,0.7124,57934,0
0.7515,371.2713,0.7391,61138,0
0.7323,382.1808,0.6728,61519,0
0.7225,430.7576,0.7692,76073,0
0.7313,368.015,0.7403,56882,0
0.7104,418.2706,0.7469,69350,0
0.6939,466.2324,0.6702,82196,0
0.7884,356.8281,0.7237,62165,0
0.759,435.7355,0.7386,85913,0
0.7216,409.83,0.6526,68683,0
0.7558,369.4055,0.6779,61215,0
0.7572,401.8137,0.6861,72713,0
0.7682,355.8436,0.7156,58684,0
0.7673,359.1674,0.675,59652,0
0.759,443.718,0.7407,89091,0
0.7567,361.2761,0.6746,58701,0
0.7237,405.671,0.6923,67699,0
0.7654,418.3991,0.7381,80555,0
0.7637,387.6093,0.7542,68816,0
0.744,430.9316,0.7537,80729,0
0.7649,384.1239,0.696,67796,0
0.7516,402.0958,0.6765,71730,0
0.7753,387.1938,0.7201,70771,0
0.7972,384.023,0.7169,73611,0
0.6961,458.0375,0.7354,79842,0
0.701,422.2851,0.7514,68822,0
0.7092,440.8537,0.7419,76775,0
0.7202,390.4307,0.6624,62105,0
0.7393,360.5674,0.6303,55811,0
0.797,441.0742,0.7266,97062,0
0.694,431.2931,0.6644,70361,0
0.7977,388.6198,0.7015,75482,0
0.772,380.6642,0.7191,67832,0
0.7943,368.1006,0.6867,67135,0
0.7959,398.656,0.7359,79074,0
0.7734,428.2713,0.694,86164,0
0.7472,392.5092,0.7106,67549,0
0.7766,429.7881,0.7558,87490,0
0.7165,452.2654,0.6277,82468,0
0.7338,462.2198,0.7412,90346,0
0.7222,423.5409,0.7426,73484,0
0.7492,446.5276,0.7095,87906,0
0.721,452.1363,0.7602,83467,0
0.7346,440.7238,0.7467,82324,0
0.7272,461.0047,0.7685,88264,0
0.749,492.4942,0.7391,106862,0
0.7694,386.0202,0.7314,69275,0
0.7518,382.434,0.6994,64922,0
0.7228,464.8264,0.7373,88645,0
0.7359,490.5406,0.7306,102336,0
0.7099,403.9814,0.6531,64604,0
0.7337,410.6743,0.7392,71311,0
0.7483,445.2308,0.7067,87179,0
0.7162,464.3543,0.6679,86869,0
0.6926,452.2426,0.6162,77063,0
0.7005,439.7033,0.7199,74522,0
0.7868,364.3535,0.703,64543,0
0.6972,501.0219,0.7319,95832,0
0.766,385.8641,0.7031,68607,0
0.7513,422.3434,0.6704,79071,0
0.7076,423.9374,0.6568,70673,0
0.6921,429.8407,0.6623,69517,0
0.6924,420.897,0.7126,66702,0
0.7369,430.0428,0.7121,78870,0
0.7008,436.6477,0.7462,73550,0
0.753,397.2996,0.6928,70285,0
0.7289,404.4244,0.7461,68243,0
0.7982,359.8989,0.7619,64811,0
0.7563,477.3742,0.7364,102377,0
0.7025,485.5496,0.7227,91385,0
0.7436,402.12,0.699,70222,0
0.786,420.8492,0.7354,85946,0
0.7676,450.5382,0.7296,93924,0
0.785,395.511,0.7412,75710,0
0.7857,389.0548,0.7564,73382,0
0.7815,449.5173,0.7057,96935,0
0.7355,412.0657,0.6954,72138,0
0.7018,460.8095,0.6391,82132,0
0.7417,420.2904,0.7328,76325,0
0.7622,412.6364,0.6841,77691,0
0.8289,390.5541,0.7279,82306,0
0.7195,405.313,0.737,66789,0
0.7029,454.4632,0.6586,80137,0
0.7601,392.8732,0.7297,70041,0
